source,target,relationship_type,description,source_citation
412th Test Wing,Area 51,operates,412th also operates Area 51 sites,UAPGerb Hidden Wing
412th Test Wing,Nevada Test and Training Range,operates_in,Western Ranges flight test operations,UAPGerb Hidden Wing
412th Test Wing,Utah Test and Training Range,operates_in,Western Ranges flight test operations,UAPGerb Hidden Wing
# Program connections
Hidden Wing,412th Test Wing,operated_by,Alleged TUO T&E program under 412th Test Wing,UAPGerb Hidden Wing
Hidden Wing,Air Force Test Pilot School,pilots_from,ARV pilots allegedly from TPS,UAPGerb Hidden Wing
Hidden Wing,Nevada Test and Training Range,tested_at,Western Ranges T&E location,UAPGerb Hidden Wing
Hidden Wing,Utah Test and Training Range,tested_at,Western Ranges T&E location,UAPGerb Hidden Wing
Guardian Angel Program,AFOSIPJ,operated_by,FBI personnel embedded in Air Force SAPs,UAPGerb Hidden Wing
Guardian Angel Program,FBI,joint_with,Small cadre of FBI agents at LA and DC,UAPGerb Hidden Wing
TR-3B,Sandia National Laboratories,allegedly_developed_at,Magnetic field disruptor R&D per Fouche,UAPGerb Hidden Wing
TR-3B,Lawrence Livermore National Laboratory,allegedly_developed_at,Propulsion reverse engineering per Fouche,UAPGerb Hidden Wing
# Facility connections
Air Force Plant 42,Lockheed Martin,houses,Skunk Works operations at Palmdale,UAPGerb Hidden Wing
Air Force Plant 42,Northrop Grumman,houses,Advanced Technology Development Center,UAPGerb Hidden Wing
Air Force Plant 42,Boeing,houses,Phantom Works operations,UAPGerb Hidden Wing
Air Force Plant 42,Edwards Air Force Base,adjacent_to,Close coordination with Edwards flight test,UAPGerb Hidden Wing
Crystal City,Lockheed Martin,houses,Primary corporate offices,UAPGerb Hidden Wing
Crystal City,Northrop Grumman,houses,Corporate offices,UAPGerb Hidden Wing
Crystal City,DARPA,located_near,Defense research agencies,UAPGerb Hidden Wing
NSWC Crane,SAIC,allegedly_houses,Off-World Technologies Division per allegations,UAPGerb Hidden Wing
# Historical MAGCOM evolution
Air Material Command,Air Force Material Command,predecessor_to,AMC (1946-1961) evolved to AFMC,UAPGerb Hidden Wing
Air Research and Development Command,Air Force Systems Command,predecessor_to,ARDC became AFSC in 1961,UAPGerb Hidden Wing
Air Force Systems Command,Air Force Material Command,merged_into,AFSC merged with AFLC to form AFMC (1992),UAPGerb Hidden Wing
Air Force Special Weapons Center,Air Force Research Lab,evolved_into,AFSWC OPR transferred to AFWL then AFRL,UAPGerb Hidden Wing
