recipient,uei,duns,cage,award_or_idv_url,agency,idv_or_award,notes
PERATON INC.,ZBPQEJVECCT4,602938771.0,0HD54,https://www.usaspending.gov/award/CONT_AWD_N0042123F3003_9700_N0017819D8284_9700,Navy/NAWCAD,AWARD,Task order under Dahlgren IDIQ (N0017819D8284)
PERATON LABS INC.,NQKWRHGLTD55,,6MN14,https://www.usaspending.gov/award/CONT_AWD_HR001121C0040_9700_-NONE-_-NONE-,DoD/DARPA,AWARD,DARPA contract HR0011-21-C-0040
PERATON LABS INC.,NQKWRHGLTD55,,6MN14,https://www.usaspending.gov/award/CONT_AWD_W56KGU25C0006_9700_-NONE-_-NONE-,Army/DEVCOM C5ISR,AWARD,Army contract W56KGU-25-C-0006
PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,77817617.0,1U305,https://www.usaspending.gov/award/CONT_AWD_1605DC19F00028_1605_GS35F146DA_4732,DOL,AWARD,DOL order via GSA schedule
PERATON RISK DECISION INC.,P78LRLNYPUF4,152867235.0,,https://www.usaspending.gov/award/CONT_IDV_HSCEMR15A00003_7012,DHS/FEMA,IDV,Enterprise risk IDV holder
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_AWD_47QFPA23F0029_4732_47QFPA22D0004_4732,General Services Administration (GSA),AWARD,Parsed from URL; parent_piid=47QFPA22D0004
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_AWD_75FCMC22F0065_7530_GS35F694GA_4732,HHS / Centers for Medicare & Medicaid Services (CMS),AWARD,Parsed from URL; parent_piid=GS35F694GA
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_AWD_15F06725F0000646_1549_GS35F694GA_4732,Department of Justice (DOJ),AWARD,Parsed from URL; parent_piid=GS35F694GA
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_AWD_75D30125F00192_7523_47QTCK18D0011_4732,HHS / Centers for Disease Control and Prevention (CDC),AWARD,Parsed from URL; parent_piid=47QTCK18D0011
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_AWD_FA221724FB001_9700_47QTCK18D0011_4732,Department of Defense (DoD),AWARD,Parsed from URL; parent_piid=47QTCK18D0011
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_AWD_FA520517F0030_9700_FA873214D0003_9700,Department of Defense (DoD),AWARD,Parsed from URL; parent_piid=FA873214D0003
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_AWD_D813_9700_W91QUZ07D0001_9700,Department of Defense (DoD),AWARD,Parsed from URL; parent_piid=W91QUZ07D0001
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_IDV_19AQMM18D0086_1900,Department of State (DOS),IDV,Parsed from URL; parent_piid=
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_IDV_HC104705D4002_9700,Department of Defense (DoD),IDV,Parsed from URL; parent_piid=
PERATON INC.,ZBPQEJVECCT4,602938771,0HD54,https://www.usaspending.gov/award/CONT_IDV_N0017819D8284_9700,Department of Defense (DoD),IDV,Parsed from URL; parent_piid=
PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,077817617,1U305,https://www.usaspending.gov/award/CONT_AWD_GS00Q17AHC1003_4732_-NONE-_-NONE-,General Services Administration (GSA),AWARD,Parsed from URL; parent_piid=
PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,077817617,1U305,https://www.usaspending.gov/award/CONT_AWD_86615325F00004_8600_GS35F146DA_4732,Environmental Protection Agency (EPA),AWARD,Parsed from URL; parent_piid=GS35F146DA
PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,077817617,1U305,https://www.usaspending.gov/award/CONT_AWD_M6785420FMUWN_9700_N0003913D0013_9700,Department of Defense (DoD),AWARD,Parsed from URL; parent_piid=N0003913D0013
PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,077817617,1U305,https://www.usaspending.gov/award/CONT_IDV_GS35F0323J_4730,GSA (PSC/Schedule IDV),IDV,Parsed from URL; parent_piid=
PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,077817617,1U305,https://www.usaspending.gov/award/CONT_IDV_70RTAC20D00000002_7001,Department of Homeland Security (DHS),IDV,Parsed from URL; parent_piid=
PERATON ENTERPRISE SOLUTIONS LLC,MBSRAWAQ9559,077817617,1U305,https://www.usaspending.gov/award/CONT_IDV_VA11816D1023_3600,Department of Veterans Affairs (VA),IDV,Parsed from URL; parent_piid=
